,continent,region
0,North America,Caribbean
1,Asia,Southern and Central Asia
2,Africa,Central Africa
3,North America,Caribbean
4,Europe,Southern Europe
5,Europe,Southern Europe
6,North America,Caribbean
7,Asia,Middle East
8,South America,South America
9,Asia,Middle East
10,Oceania,Polynesia
11,Antarctica,Antarctica
12,Antarctica,Antarctica
13,North America,Caribbean
14,Oceania,Australia and New Zealand
15,Europe,Western Europe
16,Asia,Middle East
17,Africa,Eastern Africa
18,Europe,Western Europe
19,Africa,Western Africa
20,Africa,Western Africa
21,Asia,Southern and Central Asia
22,Europe,Eastern Europe
23,Asia,Middle East
24,North America,Caribbean
25,Europe,Southern Europe
26,Europe,Eastern Europe
27,North America,Central America
28,North America,North America
29,South America,South America
30,South America,South America
31,North America,Caribbean
32,Asia,Southeast Asia
33,Asia,Southern and Central Asia
34,Antarctica,Antarctica
35,Africa,Southern Africa
36,Africa,Central Africa
37,North America,North America
38,Oceania,Australia and New Zealand
39,Europe,Western Europe
40,South America,South America
41,Asia,Eastern Asia
42,Africa,Western Africa
43,Africa,Central Africa
44,Africa,Central Africa
45,Africa,Central Africa
46,Oceania,Polynesia
47,South America,South America
48,Africa,Eastern Africa
49,Africa,Western Africa
50,North America,Central America
51,North America,Caribbean
52,Oceania,Australia and New Zealand
53,North America,Caribbean
54,Asia,Middle East
55,Europe,Eastern Europe
56,Europe,Western Europe
57,Africa,Eastern Africa
58,North America,Caribbean
59,Europe,Nordic Countries
60,North America,Caribbean
61,Africa,Northern Africa
62,South America,South America
63,Africa,Northern Africa
64,Africa,Eastern Africa
65,Africa,Northern Africa
66,Europe,Southern Europe
67,Europe,Baltic Countries
68,Africa,Eastern Africa
69,Europe,Nordic Countries
70,Oceania,Melanesia
71,South America,South America
72,Europe,Western Europe
73,Europe,Nordic Countries
74,Oceania,Micronesia
75,Africa,Central Africa
76,Europe,British Islands
77,Asia,Middle East
78,Africa,Western Africa
79,Europe,Southern Europe
80,Africa,Western Africa
81,North America,Caribbean
82,Africa,Western Africa
83,Africa,Western Africa
84,Africa,Central Africa
85,Europe,Southern Europe
86,North America,Caribbean
87,North America,North America
88,North America,Central America
89,South America,South America
90,Oceania,Micronesia
91,South America,South America
92,Asia,Eastern Asia
93,Antarctica,Antarctica
94,North America,Central America
95,Europe,Southern Europe
96,North America,Caribbean
97,Europe,Eastern Europe
98,Asia,Southeast Asia
99,Asia,Southern and Central Asia
100,Africa,Eastern Africa
101,Europe,British Islands
102,Asia,Southern and Central Asia
103,Asia,Middle East
104,Europe,Nordic Countries
105,Asia,Middle East
106,Europe,Southern Europe
107,North America,Caribbean
108,Asia,Middle East
109,Asia,Eastern Asia
110,Asia,Southern and Central Asia
111,Africa,Eastern Africa
112,Asia,Southern and Central Asia
113,Asia,Southeast Asia
114,Oceania,Micronesia
115,North America,Caribbean
116,Asia,Eastern Asia
117,Asia,Middle East
118,Asia,Southeast Asia
119,Asia,Middle East
120,Africa,Western Africa
121,Africa,Northern Africa
122,North America,Caribbean
123,Europe,Western Europe
124,Asia,Southern and Central Asia
125,Africa,Southern Africa
126,Europe,Baltic Countries
127,Europe,Western Europe
128,Europe,Baltic Countries
129,Asia,Eastern Asia
130,Africa,Northern Africa
131,Europe,Western Europe
132,Europe,Eastern Europe
133,Africa,Eastern Africa
134,Asia,Southern and Central Asia
135,North America,Central America
136,Oceania,Micronesia
137,Europe,Southern Europe
138,Africa,Western Africa
139,Europe,Southern Europe
140,Asia,Southeast Asia
141,Asia,Eastern Asia
142,Oceania,Micronesia
143,Africa,Eastern Africa
144,Africa,Western Africa
145,North America,Caribbean
146,North America,Caribbean
147,Africa,Eastern Africa
148,Africa,Eastern Africa
