,region,surface_area,independence_year,population,life_expectancy
0,Caribbean,193.0,,103000,78.4
1,Southern and Central Asia,652090.0,1919.0,22720000,45.9
2,Central Africa,1246700.0,1975.0,12878000,38.3
3,Caribbean,96.0,,8000,76.1
4,Southern Europe,28748.0,1912.0,3401200,71.6
5,Southern Europe,468.0,1278.0,78000,83.5
6,Caribbean,800.0,,217000,74.7
7,Middle East,83600.0,1971.0,2441000,74.1
8,South America,2780400.0,1816.0,37032000,75.1
9,Middle East,29800.0,1991.0,3520000,66.4
10,Polynesia,199.0,,68000,75.1
11,Antarctica,13120000.0,,0,
12,Antarctica,7780.0,,0,
13,Caribbean,442.0,1981.0,68000,70.5
14,Australia and New Zealand,7741220.0,1901.0,18886000,79.8
15,Western Europe,83859.0,1918.0,8091800,77.7
16,Middle East,86600.0,1991.0,7734000,62.9
17,Eastern Africa,27834.0,1962.0,6695000,46.2
18,Western Europe,30518.0,1830.0,10239000,77.8
19,Western Africa,112622.0,1960.0,6097000,50.2
20,Western Africa,274000.0,1960.0,11937000,46.7
21,Southern and Central Asia,143998.0,1971.0,129155000,60.2
22,Eastern Europe,110994.0,1908.0,8190900,70.9
23,Middle East,694.0,1971.0,617000,73.0
24,Caribbean,13878.0,1973.0,307000,71.1
25,Southern Europe,51197.0,1992.0,3972000,71.5
26,Eastern Europe,207600.0,1991.0,10236000,68.0
27,Central America,22696.0,1981.0,241000,70.9
28,North America,53.0,,65000,76.9
29,South America,1098581.0,1825.0,8329000,63.7
30,South America,8547403.0,1822.0,170115000,62.9
31,Caribbean,430.0,1966.0,270000,73.0
32,Southeast Asia,5765.0,1984.0,328000,73.6
33,Southern and Central Asia,47000.0,1910.0,2124000,52.4
34,Antarctica,59.0,,0,
35,Southern Africa,581730.0,1966.0,1622000,39.3
36,Central Africa,622984.0,1960.0,3615000,44.0
37,North America,9970610.0,1867.0,31147000,79.4
38,Australia and New Zealand,14.0,,600,
39,Western Europe,41284.0,1499.0,7160400,79.6
40,South America,756626.0,1810.0,15211000,75.7
41,Eastern Asia,9572900.0,-1523.0,1277558000,71.4
42,Western Africa,322463.0,1960.0,14786000,45.2
43,Central Africa,475442.0,1960.0,15085000,54.8
44,Central Africa,2344858.0,1960.0,51654000,48.8
45,Central Africa,342000.0,1960.0,2943000,47.4
46,Polynesia,236.0,,20000,71.1
47,South America,1138914.0,1810.0,42321000,70.3
48,Eastern Africa,1862.0,1975.0,578000,60.0
49,Western Africa,4033.0,1975.0,428000,68.9
50,Central America,51100.0,1821.0,4023000,75.8
51,Caribbean,110861.0,1902.0,11201000,76.2
52,Australia and New Zealand,135.0,,2500,
53,Caribbean,264.0,,38000,78.9
54,Middle East,9251.0,1960.0,754700,76.7
55,Eastern Europe,78866.0,1993.0,10278100,74.5
56,Western Europe,357022.0,1955.0,82164700,77.4
57,Eastern Africa,23200.0,1977.0,638000,50.8
58,Caribbean,751.0,1978.0,71000,73.4
59,Nordic Countries,43094.0,800.0,5330000,76.5
60,Caribbean,48511.0,1844.0,8495000,73.2
61,Northern Africa,2381741.0,1962.0,31471000,69.7
62,South America,283561.0,1822.0,12646000,71.1
63,Northern Africa,1001449.0,1922.0,68470000,63.3
64,Eastern Africa,117600.0,1993.0,3850000,55.8
65,Northern Africa,266000.0,,293000,49.8
66,Southern Europe,505992.0,1492.0,39441700,78.8
67,Baltic Countries,45227.0,1991.0,1439200,69.5
68,Eastern Africa,1104300.0,-1000.0,62565000,45.2
69,Nordic Countries,338145.0,1917.0,5171300,77.4
70,Melanesia,18274.0,1970.0,817000,67.9
71,South America,12173.0,,2000,
72,Western Europe,551500.0,843.0,59225700,78.8
73,Nordic Countries,1399.0,,43000,78.4
74,Micronesia,702.0,1990.0,119000,68.6
75,Central Africa,267668.0,1960.0,1226000,50.1
76,British Islands,242900.0,1066.0,59623400,77.7
77,Middle East,69700.0,1991.0,4968000,64.5
78,Western Africa,238533.0,1957.0,20212000,57.4
79,Southern Europe,6.0,,25000,79.0
80,Western Africa,245857.0,1958.0,7430000,45.6
81,Caribbean,1705.0,,456000,77.0
82,Western Africa,11295.0,1965.0,1305000,53.2
83,Western Africa,36125.0,1974.0,1213000,49.0
84,Central Africa,28051.0,1968.0,453000,53.6
85,Southern Europe,131626.0,1830.0,10545700,78.4
86,Caribbean,344.0,1974.0,94000,64.5
87,North America,2166090.0,,56000,68.1
88,Central America,108889.0,1821.0,11385000,66.2
89,South America,90000.0,,181000,76.1
90,Micronesia,549.0,,168000,77.8
91,South America,214969.0,1966.0,861000,64.0
92,Eastern Asia,1075.0,,6782000,79.5
93,Antarctica,359.0,,0,
94,Central America,112088.0,1838.0,6485000,69.9
95,Southern Europe,56538.0,1991.0,4473000,73.7
96,Caribbean,27750.0,1804.0,8222000,49.2
97,Eastern Europe,93030.0,1918.0,10043200,71.4
98,Southeast Asia,1904569.0,1945.0,212107000,68.0
99,Southern and Central Asia,3287263.0,1947.0,1013662000,62.5
100,Eastern Africa,78.0,,0,
101,British Islands,70273.0,1921.0,3775100,76.8
102,Southern and Central Asia,1648195.0,1906.0,67702000,69.7
103,Middle East,438317.0,1932.0,23115000,66.5
104,Nordic Countries,103000.0,1944.0,279000,79.4
105,Middle East,21056.0,1948.0,6217000,78.6
106,Southern Europe,301316.0,1861.0,57680000,79.0
107,Caribbean,10990.0,1962.0,2583000,75.2
108,Middle East,88946.0,1946.0,5083000,77.4
109,Eastern Asia,377829.0,-660.0,126714000,80.7
110,Southern and Central Asia,2724900.0,1991.0,16223000,63.2
111,Eastern Africa,580367.0,1963.0,30080000,48.0
112,Southern and Central Asia,199900.0,1991.0,4699000,63.4
113,Southeast Asia,181035.0,1953.0,11168000,56.5
114,Micronesia,726.0,1979.0,83000,59.8
115,Caribbean,261.0,1983.0,38000,70.7
116,Eastern Asia,99434.0,1948.0,46844000,74.4
117,Middle East,17818.0,1961.0,1972000,76.1
118,Southeast Asia,236800.0,1953.0,5433000,53.1
119,Middle East,10400.0,1941.0,3282000,71.3
120,Western Africa,111369.0,1847.0,3154000,51.0
121,Northern Africa,1759540.0,1951.0,5605000,75.5
122,Caribbean,622.0,1979.0,154000,72.3
123,Western Europe,160.0,1806.0,32300,78.8
124,Southern and Central Asia,65610.0,1948.0,18827000,71.8
125,Southern Africa,30355.0,1966.0,2153000,50.8
126,Baltic Countries,65301.0,1991.0,3698500,69.1
127,Western Europe,2586.0,1867.0,435700,77.1
128,Baltic Countries,64589.0,1991.0,2424200,68.4
129,Eastern Asia,18.0,,473000,81.6
