,life_expectancy
0,78.4
1,45.9
2,38.3
3,76.1
4,71.6
5,83.5
6,74.7
7,74.1
8,75.1
9,66.4
10,75.1
11,
12,
13,70.5
14,79.8
15,77.7
16,62.9
17,46.2
18,77.8
19,50.2
20,46.7
21,60.2
22,70.9
23,73.0
24,71.1
25,71.5
26,68.0
27,70.9
28,76.9
29,63.7
30,62.9
31,73.0
32,73.6
33,52.4
34,
35,39.3
36,44.0
37,79.4
38,
39,79.6
40,75.7
41,71.4
42,45.2
43,54.8
44,48.8
45,47.4
46,71.1
47,70.3
48,60.0
49,68.9
50,75.8
51,76.2
52,
53,78.9
54,76.7
55,74.5
56,77.4
57,50.8
58,73.4
59,76.5
60,73.2
61,69.7
62,71.1
63,63.3
64,55.8
65,49.8
66,78.8
67,69.5
68,45.2
69,77.4
70,67.9
71,
72,78.8
73,78.4
74,68.6
75,50.1
76,77.7
77,64.5
78,57.4
79,79.0
80,45.6
81,77.0
82,53.2
83,49.0
84,53.6
85,78.4
86,64.5
87,68.1
88,66.2
89,76.1
90,77.8
91,64.0
92,79.5
93,
94,69.9
95,73.7
96,49.2
97,71.4
98,68.0
