,surface_area
0,193.0
1,652090.0
2,1246700.0
3,96.0
4,28748.0
5,468.0
6,800.0
7,83600.0
8,2780400.0
9,29800.0
10,199.0
11,13120000.0
12,7780.0
13,442.0
14,7741220.0
15,83859.0
16,86600.0
17,27834.0
18,30518.0
19,112622.0
20,274000.0
21,143998.0
22,110994.0
23,694.0
24,13878.0
25,51197.0
26,207600.0
27,22696.0
28,53.0
29,1098581.0
30,8547403.0
31,430.0
32,5765.0
33,47000.0
34,59.0
35,581730.0
36,622984.0
37,9970610.0
38,14.0
39,41284.0
40,756626.0
41,9572900.0
42,322463.0
43,475442.0
44,2344858.0
45,342000.0
46,236.0
47,1138914.0
48,1862.0
49,4033.0
50,51100.0
51,110861.0
52,135.0
53,264.0
54,9251.0
55,78866.0
56,357022.0
57,23200.0
58,751.0
59,43094.0
60,48511.0
61,2381741.0
62,283561.0
63,1001449.0
64,117600.0
65,266000.0
66,505992.0
67,45227.0
68,1104300.0
69,338145.0
70,18274.0
71,12173.0
72,551500.0
73,1399.0
74,702.0
75,267668.0
76,242900.0
77,69700.0
78,238533.0
79,6.0
80,245857.0
81,1705.0
82,11295.0
83,36125.0
84,28051.0
85,131626.0
86,344.0
87,2166090.0
88,108889.0
89,90000.0
90,549.0
91,214969.0
92,1075.0
93,359.0
94,112088.0
95,56538.0
96,27750.0
97,93030.0
98,1904569.0
99,3287263.0
100,78.0
101,70273.0
102,1648195.0
103,438317.0
104,103000.0
105,21056.0
106,301316.0
107,10990.0
108,88946.0
109,377829.0
110,2724900.0
111,580367.0
112,199900.0
113,181035.0
114,726.0
115,261.0
116,99434.0
117,17818.0
118,236800.0
119,10400.0
