region,gnp
Caribbean,828.0
Caribbean,63.2
Caribbean,1941.0
Caribbean,612.0
Caribbean,3527.0
Caribbean,2223.0
Caribbean,17843.0
Caribbean,1263.0
Caribbean,256.0
Caribbean,15846.0
Caribbean,3501.0
Caribbean,318.0
Caribbean,3459.0
Caribbean,6871.0
Caribbean,299.0
Caribbean,571.0
Caribbean,109.0
Caribbean,2731.0
Caribbean,34100.0
Caribbean,96.0
Caribbean,6232.0
Caribbean,285.0
Caribbean,612.0
Caribbean,0.0
Middle East,37966.0
Middle East,1813.0
Middle East,4127.0
Middle East,6366.0
Middle East,9333.0
Middle East,6064.0
Middle East,11500.0
Middle East,97477.0
Middle East,7526.0
Middle East,27037.0
Middle East,17121.0
Middle East,16904.0
Middle East,4173.0
Middle East,9472.0
Middle East,137635.0
Middle East,65984.0
Middle East,210721.0
Middle East,6041.0
