region,independence_year
Central Africa,1975.0
Central Africa,1960.0
Central Africa,1960.0
Central Africa,1960.0
Central Africa,1960.0
Central Africa,1960.0
Central Africa,1968.0
Central Africa,1975.0
Central Africa,1960.0
Southern Europe,1912.0
Southern Europe,1278.0
Southern Europe,1992.0
Southern Europe,1492.0
Southern Europe,
Southern Europe,1830.0
Southern Europe,1991.0
Southern Europe,1861.0
Southern Europe,1991.0
Southern Europe,1964.0
Southern Europe,1143.0
Southern Europe,885.0
Southern Europe,1991.0
Southern Europe,1929.0
Southern Europe,1918.0
